"Date(UTC)","UnixTimeStamp","Value"
"6/15/2023","1686787200","1665.41"
"6/16/2023","1686873600","1716.91"
"6/17/2023","1686960000","1727.25"
"6/18/2023","1687046400","1720.48"
"6/19/2023","1687132800","1736.73"
"6/20/2023","1687219200","1792.69"
"6/21/2023","1687305600","1889.69"
"6/22/2023","1687392000","1872.42"
"6/23/2023","1687478400","1893.48"
"6/24/2023","1687564800","1875.93"
"6/25/2023","1687651200","1899.46"
"6/26/2023","1687737600","1859.19"
"6/27/2023","1687824000","1889.74"
"6/28/2023","1687910400","1827.52"
"6/29/2023","1687996800","1851.93"
"6/30/2023","1688083200","1933.48"
"7/1/2023","1688169600","1924.30"
"7/2/2023","1688256000","1937.44"
"7/3/2023","1688342400","1955.83"
"7/4/2023","1688428800","1936.34"
"7/5/2023","1688515200","1910.28"
"7/6/2023","1688601600","1846.86"
"7/7/2023","1688688000","1870.73"
"7/8/2023","1688774400","1865.62"
"7/9/2023","1688860800","1863.11"
"7/10/2023","1688947200","1880.69"
"7/11/2023","1689033600","1878.60"
"7/12/2023","1689120000","1871.86"
"7/13/2023","1689206400","2005.66"
"7/14/2023","1689292800","1939.13"
"7/15/2023","1689379200","1931.90"
"7/16/2023","1689465600","1923.33"
"7/17/2023","1689552000","1911.51"
"7/18/2023","1689638400","1897.93"
"7/19/2023","1689724800","1888.88"
"7/20/2023","1689811200","1891.68"
"7/21/2023","1689897600","1891.91"
"7/22/2023","1689984000","1866.26"
"7/23/2023","1690070400","1888.70"
"7/24/2023","1690156800","1849.84"
"7/25/2023","1690243200","1857.52"
"7/26/2023","1690329600","1871.94"
"7/27/2023","1690416000","1860.95"
"7/28/2023","1690502400","1874.31"
"7/29/2023","1690588800","1880.94"
"7/30/2023","1690675200","1861.71"
"7/31/2023","1690761600","1856.07"
"8/1/2023","1690848000","1872.94"
"8/2/2023","1690934400","1839.06"
"8/3/2023","1691020800","1834.44"
"8/4/2023","1691107200","1827.52"
"8/5/2023","1691193600","1834.91"
"8/6/2023","1691280000","1827.82"
"8/7/2023","1691366400","1827.07"
"8/8/2023","1691452800","1855.73"
"8/9/2023","1691539200","1854.13"
"8/10/2023","1691625600","1850.69"
"8/11/2023","1691712000","1847.01"
"8/12/2023","1691798400","1849.05"
"8/13/2023","1691884800","1839.10"
"8/14/2023","1691971200","1844.02"
"8/15/2023","1692057600","1827.22"
"8/16/2023","1692144000","1805.68"
"8/17/2023","1692230400","1681.86"
"8/18/2023","1692316800","1661.06"
"8/19/2023","1692403200","1669.67"
"8/20/2023","1692489600","1685.38"
"8/21/2023","1692576000","1667.27"
"8/22/2023","1692662400","1634.20"
"8/23/2023","1692748800","1679.48"
"8/24/2023","1692835200","1660.49"
"8/25/2023","1692921600","1652.94"
"8/26/2023","1693008000","1646.30"
"8/27/2023","1693094400","1657.60"
"8/28/2023","1693180800","1652.23"
"8/29/2023","1693267200","1729.47"
"8/30/2023","1693353600","1705.54"
"8/31/2023","1693440000","1645.67"
"9/1/2023","1693526400","1628.50"
"9/2/2023","1693612800","1636.88"
"9/3/2023","1693699200","1635.73"
"9/4/2023","1693785600","1629.77"
"9/5/2023","1693872000","1633.84"
"9/6/2023","1693958400","1632.35"
"9/7/2023","1694044800","1647.63"
"9/8/2023","1694131200","1636.13"
"9/9/2023","1694217600","1635.28"
"9/10/2023","1694304000","1616.80"
"9/11/2023","1694390400","1551.73"
"9/12/2023","1694476800","1593.01"
"9/13/2023","1694563200","1607.99"
"9/14/2023","1694649600","1627.01"
"9/15/2023","1694736000","1641.48"
"9/16/2023","1694822400","1634.86"
"9/17/2023","1694908800","1623.06"
"9/18/2023","1694995200","1637.93"
"9/19/2023","1695081600","1643.51"
"9/20/2023","1695168000","1622.39"
"9/21/2023","1695254400","1584.04"
"9/22/2023","1695340800","1593.09"
"9/23/2023","1695427200","1593.91"
"9/24/2023","1695513600","1580.82"
"9/25/2023","1695600000","1588.04"
"9/26/2023","1695686400","1593.27"
"9/27/2023","1695772800","1597.73"
"9/28/2023","1695859200","1652.90"
"9/29/2023","1695945600","1667.44"
"9/30/2023","1696032000","1670.97"
"10/1/2023","1696118400","1733.44"
"10/2/2023","1696204800","1662.80"
"10/3/2023","1696291200","1656.96"
"10/4/2023","1696377600","1646.79"
"10/5/2023","1696464000","1611.72"
"10/6/2023","1696550400","1645.93"
"10/7/2023","1696636800","1634.64"
"10/8/2023","1696723200","1633.61"
"10/9/2023","1696809600","1580.25"
"10/10/2023","1696896000","1567.68"
"10/11/2023","1696982400","1566.52"
"10/12/2023","1697068800","1539.43"
"10/13/2023","1697155200","1552.12"
"10/14/2023","1697241600","1555.02"
"10/15/2023","1697328000","1557.99"
"10/16/2023","1697414400","1600.09"
"10/17/2023","1697500800","1565.40"
"10/18/2023","1697587200","1563.66"
"10/19/2023","1697673600","1567.55"
"10/20/2023","1697760000","1604.86"
"10/21/2023","1697846400","1629.44"
"10/22/2023","1697932800","1664.18"
"10/23/2023","1698019200","1766.32"
"10/24/2023","1698105600","1785.20"
"10/25/2023","1698192000","1787.67"
"10/26/2023","1698278400","1803.72"
"10/27/2023","1698364800","1779.98"
"10/28/2023","1698451200","1776.59"
"10/29/2023","1698537600","1795.69"
"10/30/2023","1698624000","1809.85"
"10/31/2023","1698710400","1815.45"
"11/1/2023","1698796800","1847.63"
"11/2/2023","1698883200","1801.34"
"11/3/2023","1698969600","1833.71"
"11/4/2023","1699056000","1857.23"
"11/5/2023","1699142400","1893.28"
"11/6/2023","1699228800","1901.65"
"11/7/2023","1699315200","1886.12"
"11/8/2023","1699401600","1889.05"
"11/9/2023","1699488000","2121.13"
"11/10/2023","1699574400","2078.52"
"11/11/2023","1699660800","2053.53"
"11/12/2023","1699747200","2045.40"
"11/13/2023","1699833600","2054.32"
"11/14/2023","1699920000","1979.66"
"11/15/2023","1700006400","2059.63"
"11/16/2023","1700092800","1961.54"
"11/17/2023","1700179200","1961.61"
"11/18/2023","1700265600","1963.67"
"11/19/2023","1700352000","2012.46"
"11/20/2023","1700438400","2022.62"
"11/21/2023","1700524800","1933.76"
"11/22/2023","1700611200","2064.08"
"11/23/2023","1700697600","2062.63"
"11/24/2023","1700784000","2082.24"
"11/25/2023","1700870400","2084.06"
"11/26/2023","1700956800","2063.01"
"11/27/2023","1701043200","2027.67"
"11/28/2023","1701129600","2049.10"
"11/29/2023","1701216000","2029.17"
"11/30/2023","1701302400","2052.93"
"12/1/2023","1701388800","2088.21"
"12/2/2023","1701475200","2165.60"
"12/3/2023","1701561600","2193.78"
"12/4/2023","1701648000","2243.25"
"12/5/2023","1701734400","2293.88"
"12/6/2023","1701820800","2232.96"
"12/7/2023","1701907200","2356.77"
"12/8/2023","1701993600","2358.94"
"12/9/2023","1702080000","2341.13"
"12/10/2023","1702166400","2352.31"
"12/11/2023","1702252800","2224.10"
"12/12/2023","1702339200","2202.33"
"12/13/2023","1702425600","2260.72"
"12/14/2023","1702512000","2316.03"
"12/15/2023","1702598400","2220.32"
"12/16/2023","1702684800","2227.14"
"12/17/2023","1702771200","2194.84"
"12/18/2023","1702857600","2218.75"
"12/19/2023","1702944000","2177.38"
"12/20/2023","1703030400","2202.03"
"12/21/2023","1703116800","2239.88"
"12/22/2023","1703203200","2326.53"
"12/23/2023","1703289600","2309.54"
"12/24/2023","1703376000","2265.42"
"12/25/2023","1703462400","2271.75"
"12/26/2023","1703548800","2230.94"
"12/27/2023","1703635200","2380.34"
"12/28/2023","1703721600","2345.44"
"12/29/2023","1703808000","2299.64"
"12/30/2023","1703894400","2291.65"
